,NanPing_W2E,NanPing_E2W,FuLong_S2N,FuLong_N2S,LiuXian_W2E,LiuXian_E2W,YuLong_S2N,YuLong_N2S,XinQu_S2N,XinQu_N2S,ZhiYuan_S2N,ZhiYuan_N2S
1575444600,12,12,11,11,0,0,31,31,0,0,0,0
1575448200,23,23,0,0,0,0,17,17,9,9,0,0
1575450000,3,3,5,5,14,14,0,0,0,0,11,11
1575451800,0,0,4,4,4,4,0,0,0,0,0,0
1575453600,0,0,7,7,10,10,0,0,0,0,0,0
1575455400,0,0,8,8,0,0,25,25,0,0,9,9
1575459000,4,4,0,0,0,0,0,0,0,0,0,0
1575460800,0,0,0,0,0,0,0,0,48,48,0,0
1575462600,4,4,4,4,0,0,0,0,0,0,0,0
1575464400,36,36,3,3,0,0,0,0,0,0,0,0
1575466200,0,0,4,4,4,4,0,0,0,0,0,0
1575468000,45,45,8,8,2,2,0,0,13,13,0,0
1575471600,9,9,0,0,0,0,0,0,0,0,0,0
1575559800,4,4,3,3,0,0,33,33,0,0,52,52
1575563400,3,3,0,0,0,0,0,0,0,0,0,0
1575565200,4,4,4,4,11,11,0,0,24,24,0,0
1575568800,0,0,0,0,1,1,0,0,0,0,0,0
1575570600,3,3,4,4,4,4,0,0,0,0,0,0
1575572400,3,3,0,0,0,0,0,0,0,0,0,0
1575579600,0,0,4,4,0,0,6,6,0,0,5,5
1575581400,3,3,2,2,0,0,30,30,0,0,0,0
1575583200,7,7,0,0,0,0,14,14,0,0,0,0
1575585000,13,13,5,5,4,4,61,61,25,25,7,7
1575586800,0,0,5,5,4,4,29,29,0,0,0,0
1575588600,7,7,0,0,17,17,0,0,0,0,0,0
1575590400,9,9,25,25,14,14,19,19,9,9,35,35
1575592200,7,7,68,68,15,15,4,4,4,4,7,7
1575594000,20,20,18,18,0,0,24,24,21,21,5,5
1575595800,20,20,34,34,4,4,0,0,41,41,0,0
1575597600,21,21,8,8,4,4,29,29,26,26,5,5
1575599400,14,14,3,3,8,8,29,29,10,10,0,0
1575601200,19,19,8,8,5,5,45,45,41,41,0,0
1575603000,9,9,17,17,10,10,5,5,0,0,22,22
1575604800,4,4,0,0,10,10,6,6,33,33,21,21
1575606600,0,0,6,6,3,3,8,8,0,0,0,0
1575608400,19,19,6,6,4,4,0,0,8,8,0,0
1575610200,12,12,24,24,7,7,33,33,7,7,28,28
1575612000,10,10,5,5,17,17,33,33,25,25,0,0
1575613800,7,7,19,19,0,0,131,131,27,27,102,102
1575615600,25,25,14,14,29,29,29,29,42,42,192,192
1575617400,129,129,1,1,26,26,49,49,0,0,29,29
1575619200,33,33,27,27,9,9,63,63,0,0,12,12
1575621000,6,6,0,0,5,5,0,0,0,0,0,0
1575622800,25,25,28,28,4,4,61,61,0,0,166,166
1575624600,12,12,14,14,19,19,77,77,10,10,18,18
1575626400,29,29,5,5,1,1,15,15,9,9,0,0
1575628200,46,46,8,8,0,0,8,8,8,8,0,0
1575630000,24,24,8,8,80,80,15,15,6,6,7,7
1575631800,24,24,4,4,0,0,0,0,0,0,0,0
1575633600,0,0,0,0,0,0,0,0,4,4,0,0
1575635400,4,4,2,2,0,0,0,0,0,0,50,50
1575637200,39,39,18,18,6,6,47,47,14,14,69,69
1575639000,32,32,16,16,15,15,67,67,0,0,38,38
1575640800,13,13,4,4,89,89,38,38,10,10,45,45
1575642600,16,16,15,15,22,22,0,0,0,0,0,0
1575644400,3,3,5,5,4,4,0,0,46,46,0,0
1575646200,14,14,14,14,4,4,4,4,9,9,8,8
1575648000,30,30,14,14,12,12,0,0,20,20,0,0
1575649800,33,33,23,23,18,18,0,0,14,14,0,0
1575651600,5,5,14,14,8,8,0,0,38,38,2,2
1575653400,21,21,21,21,8,8,31,31,0,0,0,0
1575655200,0,0,9,9,3,3,0,0,0,0,0,0
1575657000,8,8,0,0,4,4,0,0,16,16,0,0
1575658800,11,11,3,3,0,0,4,4,0,0,0,0
1575660600,3,3,2,2,0,0,4,4,0,0,0,0
1575662400,11,11,11,11,5,5,0,0,0,0,0,0
1575664200,3,3,3,3,0,0,0,0,0,0,0,0
1575666000,4,4,4,4,3,3,0,0,16,16,0,0
1575667800,26,26,4,4,0,0,42,42,0,0,0,0
1575669600,14,14,12,12,13,13,118,118,38,38,19,19
1575671400,3,3,10,10,20,20,175,175,72,72,17,17
1575673200,15,15,14,14,3,3,109,109,37,37,13,13
1575675000,32,32,17,17,13,13,110,110,45,45,5,5
1575676800,11,11,33,33,29,29,164,164,10,10,38,38
1575678600,84,84,62,62,71,71,76,76,82,82,6,6
1575680400,45,45,38,38,24,24,107,107,46,46,61,61
1575682200,71,71,23,23,10,10,76,76,16,16,13,13
1575684000,78,78,30,30,25,25,81,81,17,17,47,47
1575685800,81,81,58,58,33,33,259,259,74,74,75,75
1575687600,43,43,72,72,12,12,202,202,9,9,76,76
1575689400,36,36,15,15,18,18,328,328,60,60,34,34
1575691200,48,48,25,25,9,9,340,340,32,32,9,9
1575693000,59,59,42,42,28,28,162,162,108,108,45,45
1575694800,52,52,31,31,9,9,153,153,24,24,109,109
1575696600,89,89,53,53,25,25,48,48,71,71,0,0
1575698400,126,126,36,36,31,31,213,213,44,44,42,42
1575700200,106,106,131,131,13,13,155,155,47,47,114,114
1575702000,31,31,11,11,19,19,167,167,150,150,65,65
1575703800,51,51,36,36,16,16,94,94,10,10,83,83
1575705600,87,87,38,38,19,19,96,96,39,39,31,31
1575712800,61,61,38,38,24,24,68,68,40,40,32,32
1575707400,80,80,69,69,16,16,71,71,60,60,83,83
1575709200,60,60,33,33,33,33,80,80,47,47,31,31
1575711000,50,50,35,35,13,13,86,86,101,101,10,10
1575714600,69,69,27,27,16,16,127,127,55,55,17,17
1575716400,111,111,68,68,29,29,85,85,97,97,18,18
1575718200,53,53,19,19,12,12,50,50,40,40,54,54
1575720000,79,79,34,34,5,5,14,14,0,0,0,0
1575721800,85,85,35,35,19,19,100,100,22,22,66,66
1575723600,48,48,17,17,14,14,52,52,39,39,62,62
1575725400,48,48,35,35,26,26,64,64,8,8,86,86
1575727200,37,37,23,23,16,16,41,41,42,42,4,4
1575729000,34,34,28,28,34,34,35,35,110,110,21,21
1575730800,25,25,24,24,4,4,0,0,2,2,0,0
1575732600,44,44,6,6,7,7,28,28,39,39,11,11
1575734400,10,10,9,9,9,9,4,4,12,12,0,0
1575736200,6,6,7,7,11,11,0,0,0,0,0,0
1575739800,4,4,5,5,0,0,0,0,32,32,0,0
1575738000,0,0,0,0,4,4,0,0,0,0,0,0
1575743400,5,5,3,3,0,0,0,0,0,0,0,0
1575747000,0,0,4,4,4,4,0,0,0,0,0,0
1575748800,3,3,0,0,0,0,0,0,0,0,0,0
1575750600,3,3,0,0,0,0,0,0,0,0,0,0
1575754200,0,0,0,0,0,0,18,18,0,0,0,0
1575756000,6,6,15,15,9,9,17,17,0,0,5,5
1575757800,7,7,8,8,0,0,89,89,0,0,12,12
1575759600,5,5,4,4,0,0,48,48,0,0,0,0
1575761400,6,6,5,5,4,4,58,58,0,0,0,0
1575763200,22,22,3,3,0,0,0,0,0,0,0,0
1575765000,9,9,38,38,5,5,61,61,0,0,17,17
1575766800,0,0,8,8,22,22,24,24,20,20,19,19
1575768600,3,3,5,5,4,4,4,4,0,0,0,0
1575770400,13,13,0,0,0,0,42,42,0,0,13,13
1575772200,10,10,3,3,0,0,92,92,0,0,6,6
1575774000,21,21,9,9,0,0,62,62,0,0,0,0
1575775800,11,11,3,3,4,4,0,0,41,41,0,0
1575777600,23,23,7,7,0,0,22,22,101,101,37,37
1575779400,7,7,13,13,4,4,63,63,23,23,32,32
1575781200,5,5,0,0,6,6,137,137,28,28,0,0
1575783000,29,29,6,6,12,12,89,89,0,0,22,22
1575784800,18,18,3,3,6,6,99,99,0,0,11,11
1575786600,17,17,0,0,9,9,0,0,35,35,0,0
1575788400,4,4,16,16,4,4,58,58,3,3,35,35
1575790200,7,7,4,4,10,10,149,149,19,19,0,0
1575792000,9,9,22,22,15,15,54,54,0,0,11,11
1575793800,31,31,6,6,3,3,31,31,0,0,0,0
1575795600,42,42,23,23,29,29,98,98,67,67,91,91
1575797400,14,14,13,13,46,46,51,51,6,6,134,134
1575799200,49,49,11,11,0,0,98,98,48,48,7,7
1575801000,18,18,6,6,4,4,28,28,0,0,89,89
1575802800,0,0,8,8,9,9,32,32,21,21,8,8
1575804600,27,27,22,22,16,16,22,22,25,25,14,14
1575806400,3,3,16,16,8,8,20,20,31,31,6,6
1575808200,0,0,5,5,9,9,48,48,26,26,91,91
1575810000,6,6,3,3,30,30,13,13,6,6,106,106
1575811800,10,10,11,11,5,5,19,19,10,10,17,17
1575813600,12,12,21,21,4,4,29,29,28,28,61,61
1575815400,7,7,11,11,0,0,0,0,0,0,23,23
1575817200,0,0,0,0,0,0,8,8,0,0,0,0
1575819000,4,4,3,3,6,6,55,55,14,14,37,37
1575991800,0,0,4,4,4,4,0,0,0,0,0,0
1575993600,0,0,11,11,8,8,0,0,0,0,0,0
1575995400,4,4,0,0,0,0,0,0,0,0,0,0
1575997200,4,4,3,3,0,0,0,0,0,0,0,0
1575999000,2,2,3,3,0,0,0,0,0,0,0,0
1576000800,4,4,0,0,0,0,0,0,4,4,0,0
1576002600,0,0,0,0,9,9,0,0,0,0,0,0
1576009800,0,0,7,7,4,4,0,0,0,0,0,0
1576011600,0,0,4,4,3,3,0,0,0,0,0,0
1576013400,14,14,0,0,4,4,12,12,0,0,10,10
1576015200,0,0,0,0,0,0,5,5,0,0,0,0
1576017000,11,11,0,0,0,0,74,74,0,0,0,0
1576018800,9,9,4,4,0,0,94,94,43,43,7,7
1576020600,12,12,16,16,11,11,23,23,7,7,0,0
1576022400,13,13,11,11,47,47,65,65,137,137,14,14
1576024200,0,0,4,4,5,5,8,8,34,34,9,9
1576026000,25,25,28,28,12,12,21,21,40,40,20,20
1576027800,20,20,38,38,11,11,12,12,29,29,18,18
1576029600,50,50,7,7,14,14,54,54,31,31,13,13
1576031400,3,3,4,4,0,0,15,15,0,0,6,6
1576033200,9,9,4,4,5,5,9,9,0,0,0,0
1576035000,19,19,4,4,0,0,57,57,39,39,5,5
1576036800,4,4,0,0,6,6,45,45,0,0,0,0
1576038600,15,15,8,8,3,3,42,42,0,0,30,30
1576040400,7,7,4,4,16,16,49,49,35,35,43,43
1576042200,28,28,7,7,17,17,11,11,19,19,7,7
1576044000,14,14,12,12,19,19,28,28,59,59,11,11
1576047600,36,36,15,15,4,4,65,65,7,7,28,28
1576045800,9,9,13,13,0,0,73,73,33,33,42,42
1576049400,38,38,31,31,1,1,46,46,5,5,36,36
1576051200,17,17,8,8,3,3,60,60,0,0,0,0
1576053000,5,5,17,17,0,0,19,19,0,0,33,33
1576054800,24,24,4,4,0,0,31,31,19,19,50,50
1576056600,0,0,14,14,0,0,6,6,0,0,7,7
1576058400,22,22,3,3,5,5,0,0,55,55,10,10
1576060200,4,4,9,9,36,36,22,22,46,46,0,0
1576062000,26,26,15,15,17,17,27,27,41,41,10,10
1576063800,5,5,0,0,0,0,71,71,47,47,24,24
1576065600,4,4,10,10,2,2,12,12,39,39,0,0
1576067400,19,19,14,14,19,19,72,72,7,7,19,19
1576069200,15,15,19,19,13,13,0,0,64,64,0,0
1576071000,54,54,7,7,5,5,31,31,0,0,26,26
1576072800,27,27,30,30,22,22,29,29,9,9,32,32
1576074600,55,55,17,17,13,13,81,81,0,0,36,36
1576076400,19,19,25,25,16,16,29,29,16,16,39,39
1576078200,55,55,11,11,5,5,32,32,0,0,5,5
1576080000,9,9,4,4,9,9,0,0,5,5,0,0
1576081800,0,0,0,0,5,5,3,3,0,0,0,0
1576083600,11,11,13,13,4,4,0,0,0,0,0,0
1576085400,0,0,0,0,0,0,17,17,4,4,5,5
1576087200,18,18,7,7,4,4,5,5,0,0,0,0
1576089000,3,3,0,0,0,0,0,0,0,0,0,0
1576098000,3,3,3,3,0,0,0,0,0,0,0,0
1576099800,0,0,0,0,0,0,5,5,0,0,0,0
1576101600,8,8,8,8,9,9,90,90,0,0,5,5
1576103400,10,10,20,20,13,13,122,122,0,0,6,6
1576105200,34,34,25,25,4,4,61,61,41,41,12,12
1576107000,9,9,11,11,10,10,157,157,46,46,20,20
1576108800,10,10,11,11,9,9,121,121,31,31,20,20
1576110600,0,0,23,23,9,9,112,112,51,51,8,8
1576112400,77,77,29,29,9,9,4,4,31,31,0,0
1576114200,57,57,28,28,9,9,97,97,0,0,7,7
1576116000,54,54,0,0,12,12,60,60,29,29,26,26
1576117800,28,28,10,10,17,17,11,11,38,38,9,9
1576119600,15,15,11,11,4,4,139,139,31,31,0,0
1576121400,24,24,5,5,8,8,80,80,18,18,8,8
1576123200,42,42,23,23,9,9,117,117,0,0,38,38
1576125000,22,22,8,8,17,17,91,91,69,69,96,96
1576126800,21,21,8,8,28,28,114,114,35,35,21,21
1576128600,48,48,23,23,8,8,55,55,4,4,8,8
1576130400,90,90,42,42,16,16,57,57,17,17,21,21
1576132200,109,109,25,25,25,25,112,112,155,155,31,31
1576134000,27,27,0,0,6,6,70,70,0,0,26,26
1576135800,15,15,10,10,13,13,60,60,37,37,38,38
1576137600,14,14,28,28,4,4,98,98,54,54,59,59
1576139400,44,44,8,8,0,0,37,37,0,0,12,12
1576141200,10,10,7,7,7,7,57,57,14,14,11,11
1576143000,59,59,25,25,72,72,132,132,0,0,21,21
1576144800,29,29,14,14,23,23,161,161,0,0,14,14
1576146600,34,34,7,7,34,34,11,11,50,50,0,0
1576148400,75,75,4,4,4,4,68,68,6,6,0,0
1576150200,13,13,4,4,0,0,20,20,4,4,29,29
1576152000,3,3,16,16,5,5,8,8,0,0,71,71
1576153800,14,14,19,19,5,5,11,11,5,5,18,18
1576155600,4,4,12,12,17,17,6,6,13,13,0,0
1576157400,29,29,34,34,10,10,80,80,7,7,5,5
1576159200,51,51,28,28,15,15,67,67,16,16,6,6
1576161000,18,18,0,0,11,11,62,62,53,53,44,44
1576162800,15,15,14,14,10,10,15,15,36,36,6,6
1576164600,36,36,5,5,3,3,35,35,27,27,0,0
1576198800,0,0,0,0,6,6,11,11,0,0,30,30
1576251000,56,56,3,3,0,0,18,18,0,0,0,0
1576252800,12,12,12,12,11,11,22,22,17,17,0,0
1576254600,12,12,2,2,2,2,0,0,18,18,0,0
1576256400,4,4,0,0,4,4,0,0,5,5,0,0
1576258200,0,0,8,8,4,4,0,0,0,0,0,0
1576260000,16,16,3,3,0,0,0,0,34,34,0,0
1576263600,0,0,2,2,0,0,0,0,0,0,0,0
1576265400,9,9,6,6,0,0,0,0,0,0,0,0
1576267200,4,4,9,9,4,4,0,0,0,0,0,0
1576269000,0,0,4,4,5,5,0,0,0,0,0,0
1576272600,19,19,3,3,0,0,19,19,0,0,0,0
1576274400,7,7,4,4,0,0,241,241,2,2,9,9
1576276200,19,19,4,4,14,14,157,157,3,3,20,20
1576278000,0,0,5,5,9,9,82,82,6,6,0,0
1576279800,16,16,5,5,5,5,51,51,38,38,6,6
1576281600,23,23,9,9,16,16,70,70,10,10,0,0
1576283400,28,28,15,15,14,14,71,71,64,64,6,6
1576285200,64,64,5,5,14,14,110,110,104,104,7,7
1576287000,27,27,60,60,3,3,78,78,0,0,19,19
1576288800,20,20,8,8,20,20,43,43,18,18,7,7
1576290600,62,62,17,17,12,12,279,279,7,7,69,69
1576292400,53,53,20,20,17,17,236,236,68,68,49,49
1576294200,20,20,17,17,7,7,86,86,0,0,53,53
1576296000,16,16,24,24,10,10,70,70,21,21,32,32
1576297800,35,35,20,20,8,8,74,74,48,48,6,6
1576299600,33,33,8,8,3,3,7,7,0,0,0,0
1576301400,41,41,17,17,8,8,57,57,47,47,5,5
1576303200,43,43,10,10,10,10,55,55,83,83,97,97
1576305000,33,33,21,21,5,5,73,73,45,45,45,45
1576306800,57,57,50,50,4,4,197,197,77,77,39,39
1576308600,43,43,10,10,19,19,56,56,12,12,41,41
1576310400,19,19,21,21,14,14,54,54,0,0,51,51
1576312200,14,14,13,13,19,19,84,84,9,9,10,10
1576314000,29,29,21,21,8,8,157,157,33,33,66,66
1576315800,20,20,24,24,65,65,28,28,38,38,2,2
1576317600,33,33,21,21,15,15,60,60,33,33,6,6
1576319400,63,63,25,25,19,19,0,0,0,0,10,10
1576321200,3,3,24,24,15,15,46,46,49,49,13,13
1576323000,35,35,15,15,26,26,65,65,21,21,29,29
1576324800,32,32,20,20,10,10,29,29,341,341,15,15
1576326600,25,25,23,23,13,13,4,4,64,64,0,0
1576328400,10,10,14,14,8,8,64,64,34,34,15,15
1576330200,15,15,17,17,5,5,22,22,50,50,9,9
1576332000,19,19,16,16,4,4,5,5,0,0,0,0
1576333800,0,0,4,4,16,16,0,0,14,14,31,31
1576335600,17,17,18,18,12,12,0,0,11,11,0,0
1576337400,10,10,12,12,11,11,17,17,25,25,62,62
1576339200,16,16,5,5,0,0,0,0,24,24,0,0
1576341000,0,0,5,5,5,5,0,0,0,0,0,0
1576342800,6,6,5,5,0,0,0,0,0,0,0,0
1576350000,3,3,0,0,0,0,0,0,0,0,0,0
1576351800,4,4,3,3,0,0,0,0,0,0,0,0
1576353600,4,4,0,0,0,0,0,0,0,0,0,0
1576357200,0,0,11,11,0,0,5,5,0,0,5,5
1576359000,12,12,3,3,0,0,4,4,0,0,0,0
1576360800,0,0,0,0,0,0,21,21,0,0,0,0
1576362600,10,10,5,5,4,4,89,89,0,0,0,0
1576364400,3,3,18,18,0,0,50,50,0,0,8,8
1576366200,7,7,0,0,0,0,11,11,0,0,0,0
1576368000,25,25,3,3,4,4,25,25,5,5,0,0
1576369800,7,7,8,8,3,3,13,13,19,19,7,7
1576371600,11,11,0,0,0,0,79,79,40,40,0,0
1576373400,6,6,3,3,0,0,9,9,19,19,22,22
1576375200,3,3,17,17,0,0,59,59,29,29,19,19
1576377000,3,3,2,2,0,0,74,74,0,0,13,13
1576378800,6,6,0,0,0,0,47,47,0,0,0,0
1576380600,21,21,25,25,9,9,13,13,0,0,21,21
1576382400,8,8,3,3,0,0,51,51,0,0,66,66
1576384200,12,12,10,10,19,19,46,46,30,30,52,52
1576386000,11,11,22,22,3,3,70,70,0,0,0,0
1576387800,23,23,7,7,5,5,67,67,0,0,0,0
1576389600,26,26,13,13,5,5,87,87,0,0,49,49
1576391400,7,7,4,4,13,13,74,74,23,23,51,51
1576393200,0,0,14,14,14,14,97,97,69,69,180,180
1576395000,16,16,19,19,11,11,119,119,9,9,49,49
1576396800,55,55,8,8,29,29,74,74,10,10,53,53
1576398600,34,34,9,9,10,10,34,34,0,0,68,68
1576400400,11,11,4,4,4,4,11,11,38,38,83,83
1576402200,7,7,10,10,9,9,24,24,12,12,0,0
1576404000,0,0,4,4,9,9,21,21,0,0,0,0
1576405800,16,16,6,6,8,8,29,29,13,13,0,0
1576407600,4,4,9,9,14,14,12,12,0,0,0,0
1576409400,16,16,6,6,5,5,43,43,5,5,0,0
1576411200,4,4,0,0,0,0,10,10,1,1,0,0
1576413000,7,7,4,4,5,5,23,23,0,0,26,26
1576414800,11,11,9,9,4,4,7,7,13,13,6,6
1576416600,20,20,5,5,5,5,59,59,0,0,125,125
1576418400,6,6,15,15,4,4,25,25,7,7,16,16
1576420200,7,7,26,26,8,8,121,121,7,7,42,42
1576422000,11,11,8,8,10,10,27,27,0,0,55,55
1576423800,3,3,0,0,0,0,5,5,19,19,0,0
1576425600,8,8,3,3,0,0,0,0,0,0,0,0
1576427400,3,3,0,0,3,3,4,4,7,7,0,0
1576429200,0,0,0,0,0,0,0,0,18,18,0,0
1576432800,3,3,7,7,0,0,0,0,0,0,0,0
1576445400,0,0,8,8,0,0,6,6,0,0,32,32
1576447200,0,0,0,0,0,0,6,6,0,0,0,0
1576449000,0,0,0,0,3,3,19,19,0,0,7,7
1576450800,14,14,0,0,9,9,57,57,0,0,0,0
1576452600,4,4,28,28,5,5,10,10,5,5,20,20
1576454400,29,29,82,82,20,20,77,77,23,23,41,41
1576456200,82,82,23,23,19,19,19,19,0,0,22,22
1576458000,3,3,21,21,9,9,9,9,18,18,0,0
1576459800,4,4,0,0,0,0,36,36,0,0,26,26
1576461600,0,0,14,14,8,8,123,123,27,27,42,42
1576463400,13,13,0,0,5,5,18,18,0,0,30,30
1576465200,47,47,0,0,4,4,35,35,41,41,15,15
1576467000,26,26,5,5,0,0,24,24,0,0,0,0
1576468800,0,0,8,8,2,2,193,193,56,56,6,6
1576470600,7,7,0,0,0,0,13,13,0,0,0,0
1576472400,13,13,10,10,8,8,4,4,0,0,7,7
1576474200,4,4,0,0,3,3,36,36,4,4,0,0
1576476000,9,9,26,26,0,0,36,36,6,6,20,20
1576477800,0,0,0,0,5,5,0,0,75,75,24,24
1576479600,0,0,0,0,0,0,38,38,0,0,0,0
1576481400,21,21,11,11,10,10,38,38,13,13,0,0
1576483200,16,16,4,4,9,9,57,57,34,34,0,0
1576485000,11,11,0,0,15,15,45,45,11,11,15,15
1576486800,0,0,4,4,3,3,25,25,0,0,0,0
1576488600,14,14,3,3,3,3,32,32,7,7,0,0
1576490400,0,0,4,4,5,5,0,0,0,0,0,0
1576492200,7,7,4,4,16,16,4,4,18,18,0,0
1576494000,3,3,6,6,8,8,29,29,0,0,10,10
1576495800,0,0,4,4,5,5,0,0,0,0,34,34
1576497600,8,8,0,0,0,0,0,0,17,17,0,0
1576499400,0,0,0,0,5,5,52,52,5,5,39,39
1576501200,11,11,24,24,0,0,33,33,3,3,0,0
1576503000,14,14,15,15,13,13,0,0,0,0,0,0
1576504800,21,21,2,2,0,0,5,5,0,0,0,0
1576506600,18,18,23,23,6,6,16,16,0,0,19,19
1576508400,14,14,7,7,4,4,0,0,8,8,0,0
1576510200,0,0,0,0,4,4,1,1,24,24,0,0
1576596600,3,3,0,0,0,0,0,0,0,0,0,0
1576598400,2,2,9,9,8,8,0,0,0,0,0,0
1576600200,0,0,0,0,4,4,0,0,5,5,0,0
1576602000,4,4,0,0,0,0,0,0,0,0,0,0
1576603800,0,0,2,2,0,0,0,0,0,0,0,0
1576605600,0,0,3,3,0,0,0,0,0,0,0,0
1576616400,0,0,0,0,4,4,0,0,4,4,0,0
